year,zip,amt,contrib,num_people,town,state,signal
1999,01001,81.00,,,Agawam,MA,#N/A
1999,01002,502.00,7,7,Amherst,MA,#N/A
1999,01004,110.50,2,2,Amherst,MA,#N/A
1999,01005,,,,Barre,MA,#N/A
1999,01007,70.00,1,1,Belchertown,MA,#N/A
1999,01013,,,,Chicopee,MA,#N/A
1999,01020,,,,Chicopee,MA,#N/A
1999,01027,146.00,4,4,Easthampton,MA,#N/A
1999,01030,,,,Feeding Hills,MA,#N/A
1999,01032,,,,Goshen,MA,#N/A
1999,01033,,,,Granby,MA,#N/A
1999,01035,,,,Hadley,MA,#N/A
1999,01036,,,,Hampden,MA,#N/A
1999,01039,,,,Haydenville,MA,#N/A
1999,01040,,,,Holyoke,MA,WEVN
1999,01054,150.00,1,1,Leverett,MA,WEVN
1999,01060,501.40,5,5,Northampton,MA,#N/A
1999,01061,70.00,1,1,Northampton,MA,#N/A
1999,01062,240.00,2,2,Florence,MA,#N/A
1999,01071,,,,Russell,MA,#N/A
1999,01073,,,,Southampton,MA,#N/A
1999,01075,,,,South Hadley,MA,#N/A
1999,01077,,,,Southwick,MA,#N/A
1999,01085,140.00,1,1,Westfield,MA,#N/A
1999,01095,30.00,1,1,Wilbraham,MA,#N/A
1999,01096,40.00,1,1,Williamsburg,MA,WEVN
1999,01098,50.00,1,1,Worthington,MA,WEVN
1999,01106,,,,Longmeadow,MA,#N/A
1999,01108,30.00,1,1,Springfield,MA,#N/A
1999,01118,40.00,1,1,Springfield,MA,#N/A
1999,01119,,,,Springfield,MA,#N/A
1999,01129,,,,Springfield,MA,#N/A
1999,01151,,,,Indian Orchard,MA,#N/A
1999,01201,360.00,1,1,Pittsfield,MA,#N/A
1999,01220,,,,Adams,MA,#N/A
1999,01223,,,,Becket,MA,#N/A
1999,01230,,,,Great Barrington,MA,#N/A
1999,01237,,,,Lanesboro,MA,#N/A
1999,01238,45.00,2,2,Lee,MA,#N/A
1999,01240,40.00,1,1,Lenox,MA,#N/A
1999,01243,,,,Middlefield,MA,#N/A
1999,01247,45.00,1,1,North Adams,MA,#N/A
1999,01254,,,,Richmond,MA,#N/A
1999,01257,60.00,1,1,Sheffield,MA,#N/A
1999,01260,,,,South Lee,MA,#N/A
1999,01262,,,,Stockbridge,MA,#N/A
1999,01264,120.00,1,1,Tyringham,MA,#N/A
1999,01267,15.00,1,1,Williamstown,MA,#N/A
1999,01301,117.00,3,3,Greenfield,MA,WEVN
1999,01302,,,,Greenfield,MA,#N/A
1999,01330,,,,Ashfield,MA,WEVN
1999,01331,100.00,1,1,Athol,MA,WEVO
1999,01337,240.00,2,2,Bernardston,MA,WEVN
1999,01338,100.00,1,1,Buckland,MA,#N/A
1999,01339,,,,Charlemont,MA,WEVN
1999,01340,370.00,1,1,Colrain,MA,#N/A
1999,01341,170.00,2,2,Conway,MA,#N/A
1999,01342,50.00,1,1,Deerfield,MA,#N/A
1999,01344,,,,Erving,MA,#N/A
1999,01346,50.00,1,1,Heath,MA,WEVN
1999,01349,,,,Millers Falls,MA,WEVN
1999,01351,90.00,2,2,Montague,MA,WEVN
1999,01354,180.00,2,2,Gill,MA,WEVN
1999,01355,,,,New Salem,MA,#N/A
1999,01360,205.00,4,4,Northfield,MA,#N/A
1999,01364,60.00,1,1,Orange,MA,WEVN
1999,01366,,,,Petersham,MA,WEVN
1999,01367,,,,Rowe,MA,WEVN
1999,01368,,,,Royalston,MA,WEVN
1999,01370,,,,Shelburne Falls,MA,#N/A
1999,01373,420.00,2,2,South Deerfield,MA,#N/A
1999,01378,25.00,1,1,Warwick,MA,#N/A
1999,01379,175.00,2,2,Wendell,MA,WEVN
1999,01420,100.00,1,1,Fitchburg,MA,WEVS
1999,01430,,,,Ashburnham,MA,WEVN
1999,01431,,,,Ashby,MA,WEVS
1999,01432,,,,Ayer,MA,WEVS
1999,01436,,,,Baldwinville,MA,WEVN
1999,01440,,,,Gardner,MA,WEVN
1999,01450,1015.00,7,7,Groton,MA,WEVS
1999,01451,405.00,5,5,Harvard,MA,WEVS
1999,01452,,,,Hubbardston,MA,#N/A
1999,01453,240.00,1,1,Leominster,MA,WEVS
1999,01460,170.00,4,4,Littleton,MA,WEVS
1999,01462,25.00,1,1,Lunenburg,MA,WEVS
