id,zip,amt
1,03256,2000
2,03249,2000
3,03853,2000
4,03860,2000
5,03470,2000
6,03441,2000
7,03451,2000
8,03581,2000
9,03597,2000
10,03285,2000
11,03586,6000
12,03245,6000
13,03103,6000
14,03064,6000
15,03084,6000
16,03242,6000
17,03231,6000
18,03106,6000
19,03224,6000
20,03258,6000
21,03079,6000
22,03827,6000
23,03862,6000
24,03291,6000
25,03855,5600
26,03884,5600
27,03753,5600
28,03226,5600
29,03875,5600
30,03872,5600
31,03813,5600
32,03818,5600
33,03847,5600
34,03832,12000
35,03846,6666
36,03465,6666
37,03447,6666
38,03444,6666
39,03588,6666
40,03584,6666
41,03768,6666
42,03771,6666
43,03062,6666
44,03076,6666
45,03086,6666
46,03047,6666
47,03287,6666
48,03857,6666
49,03087,800
50,03885,1200
51,03873,4000
52,03811,3333
53,03874,2222
54,03870,3333
55,03842,666
56,03854,9000
57,03820,8000
58,03852,9999
59,03743,6666
60,03276,7777
61,03237,1000
62,03254,7777
63,03886,8888
64,03887,9999
65,03836,6000
66,03464,8888
67,03457,9999
68,03448,5555
69,03570,6666
70,03582,2222
71,03583,1111
72,03266,333
73,03574,3333
74,03222,4444
75,03777,5555
76,03063,5555
77,03052,5555
78,03440,6666
79,03303,7777
80,03257,8888
81,03233,8888
82,03046,8888
83,03801,8888
84,03865,8888
85,03077,8888
86,03856,8888
87,03037,8888
88,03840,8888
89,03848,8888
90,03878,8888
91,03605,8888
92,03781,8888
93,03607,8888
94,03837,6666
95,03246,2222
96,03461,1111
97,03445,333
98,03455,3333
99,03604,4444
100,03443,5555
101,03458,5555
102,03595,5555
103,03598,6666
104,03590,7777
105,03223,8888
106,03264,6666
107,03262,2222
108,03779,1111
109,03293,333
110,03101,3333
111,03060,4444
112,03048,5555
113,03442,5555
114,03304,5555
115,03235,6666
116,03275,7777
117,03833,8888
118,03290,6666
119,03038,2222
120,03852,1111
121,03861,333
122,03867,3333
123,03835,4444
124,03869,5555
125,03601,5555
126,03809,5555
127,03227,6666
128,03864,7777
129,03602,8888
130,03609,6666
131,03462,2222
132,03466,1111
133,03575,333
134,03576,3333
135,03774,4444
136,03785,5555
137,03215,5555
138,03071,5555
139,03221,6666
140,03263,7777
141,03234,8888
142,03278,6666
143,03273,2222
144,03036,1111
145,03053,333
146,03868,3333
147,03280,4444
148,03220,5555
149,03225,5555
150,03218,5555
151,03816,6666
152,03850,7777
153,03817,8888
154,03883,6666
155,03838,2222
156,03450,1111
157,03741,333
158,03765,3333
159,03240,4444
160,03251,5555
161,03585,5555
162,03217,5555
163,03104,6666
164,03102,7777
165,03043,8888
166,03244,6666
167,03449,2222
168,03307,1111
169,03216,333
170,03230,3333
171,03032,4444
172,03871,5555
173,03253,5555
174,03269,5555
175,03814,6666
176,03259,7777
177,03830,8888
178,03890,6666
179,03467,2222
180,03608,1111
181,03452,333
182,03456,3333
183,03593,4444
184,03766,5555
185,03279,5555
186,03740,5555
187,03580,6666
188,03241,7777
189,03282,8888
190,03109,6666
191,03051,2222
192,03054,1111
193,03082,333
194,03070,3333
195,03045,4444
196,03049,5555
197,03031,5555
198,03301,5555
199,03229,6666
200,03268,7777
201,03260,8888
202,03243,6666
203,03042,2222
204,03034,1111
205,03826,333
206,03819,3333
207,03044,4444
208,03844,5555
209,03839,5555
210,03782,5555
211,03603,6666
212,03773,7777
213,03284,8888
214,03751,6666
215,03745,2222
216,03810,1111
217,03845,333
218,03882,3333
219,03812,4444
220,03849,5555
221,03431,5555
222,03446,5555
223,03592,6666
224,",0",7777
225,03784,8888
226,03780,6666
227,03748,2222
228,03755,1111
229,03750,333
230,03561,3333
231,03238,4444
232,03055,5555
233,03057,5555
234,03281,5555
235,03033,6666
236,03110,7777
237,03255,8888
238,03841,6666
239,03261,2222
240,03858,1111
241,03825,333
242,03823,3333
243,03824,4444
244,03754,5555
245,03770,5555
246,03746,5555
247,03752,6666
